#{"t_start": 1702938924.1265774, "env_id": "BipedalWalker-v3"}
r,l,t
-100.319536,87,4.678918
-116.83625,1600,18.819305
-107.791659,1600,115.692689
-99.459624,77,116.350196
-107.447748,33,116.633977
-108.192067,44,117.016685
-123.559694,1600,179.99259
-113.663018,49,180.436816
-100.869536,79,181.114038
-167.569672,849,189.115479
-117.656711,111,190.076027
-121.128421,1600,260.951211
-102.515732,74,261.662741
-131.093192,1600,349.630245
-113.945026,45,349.997127
-157.898987,737,363.984545
-95.707482,1600,436.147744
-79.418938,1600,505.871486
-70.730643,1600,575.521619
-87.103729,1600,647.768275
-59.952436,1600,662.890746
-51.617899,1600,718.901725
-37.337583,1600,781.181549
-34.392399,1600,873.995755
-17.609258,1600,968.760058
-8.653688,1600,1003.950724
-35.585698,1600,1106.797088
-10.049569,1600,1187.078713
-99.642101,123,1188.321192
30.341432,1600,1270.120932
16.984235,1600,1302.450548
-68.124571,1472,1411.755131
31.503488,1600,1498.710897
2.748507,1600,1590.749026
64.308386,1600,1694.64013
39.8391,1600,1727.611512
88.967016,1600,1833.782616
74.323168,1600,1933.186139
51.428895,1600,2025.661083
97.969114,1600,2061.409425
129.366385,1600,2144.856647
143.40617,1600,2234.452118
115.529154,1600,2328.949023
143.232954,1600,2428.649438
-118.599852,87,2429.914928
42.455397,1390,2466.256646
177.348801,1600,2546.18114
143.321311,1600,2648.708027
200.527576,1600,2738.79317
166.571328,1600,2768.719397
-118.067913,74,2769.344124
-104.906327,63,2769.903351
190.880097,1600,2873.523929
240.546363,1600,2967.796517
230.348855,1600,3062.118495
229.322868,1600,3159.791483
233.877863,1600,3193.473025
217.559142,1600,3291.094427
242.922195,1587,3385.683816
221.633149,1600,3456.368973
249.270414,1545,3482.436924
238.651563,1600,3555.974443
254.595753,1450,3614.298862
0.186077,549,3624.895707
255.830817,1425,3691.290784
262.115989,1351,3786.745747
259.382047,1385,3807.320496
254.455348,1411,3894.501151
263.068814,1321,3985.114669
-45.962803,389,3988.547567
-124.120017,119,3998.097357
259.723183,1371,4073.086253
260.595054,1369,4099.344322
255.452602,1414,4187.59161
259.674045,1341,4284.09822
259.864544,1364,4304.111433
255.391567,1433,4398.485146
260.454668,1348,4491.238771
265.21084,1290,4519.035545
30.560036,709,4591.028474
262.986273,1305,4619.485426
259.714048,1362,4714.190984
262.594919,1273,4732.456614
257.361551,1359,4819.137593
262.302438,1303,4905.791938
264.428669,1263,4932.007842
263.887523,1294,5014.799181
-78.740242,188,5016.421257
256.538238,1358,5100.511329
258.540704,1358,5127.552394
-66.619383,317,5187.249139
256.95161,1347,5213.465306
262.753604,1271,5296.087746
262.943927,1269,5313.904277
260.94515,1287,5395.159313
259.734287,1307,5476.315629
257.442409,1363,5494.7894
261.147483,1314,5579.245727
260.074855,1299,5662.067313
259.871816,1331,5680.176513
262.488776,1273,5770.939512
267.878566,1221,5856.610451
260.231187,1301,5874.786495
264.759471,1256,5974.67579
257.49745,1347,6001.766555
261.998423,1297,6075.838002
254.741925,1364,6159.45201
261.134578,1302,6185.318843
262.844459,1289,6261.44821
262.217436,1255,6344.814481
257.034619,1317,6369.694837
265.875335,1227,6448.73655
104.268342,1131,6473.550456
264.334677,1227,6550.102015
255.738677,1343,6634.729335
262.167721,1270,6660.43574
253.101296,1332,6733.83315
255.039344,1328,6804.937623
265.972676,1210,6819.293933
262.236599,1257,6878.264416
260.776205,1265,6898.16565
252.757936,1357,6952.881406
256.81356,1315,7012.281415
260.184881,1269,7032.227796
253.75914,1343,7086.687208
262.953328,1213,7145.291144
256.678578,1308,7165.576531
