#{"t_start": 1702947202.908375, "env_id": "CarRacing-v2"}
r,l,t
17.845118,1000,46.483022
9.717868,1000,91.910593
-85.777465,563,117.500176
-27.835052,1000,161.957769
272.483221,1000,206.781605
190.909091,1000,251.299724
444.850498,1000,326.601103
68.498168,1000,371.43239
341.281139,1000,418.749293
507.142857,1000,467.225388
636.196319,1000,514.555041
484.664537,1000,561.630733
587.07483,1000,642.069065
443.026706,1000,689.611885
92.170819,1000,736.25585
853.846154,1000,782.702586
593.037975,1000,829.541755
600.0,1000,876.97894
370.031546,1000,925.162531
110.669767,685,989.654016
914.0,860,1030.872815
135.492308,723,1065.943393
697.101449,1000,1114.07631
87.01769,694,1145.419078
921.6,784,1182.938775
85.430464,1000,1230.021407
505.678233,1000,1311.449062
909.9,901,1355.078621
248.909657,1000,1403.296926
690.780142,1000,1451.598615
858.955224,1000,1499.445932
877.52809,1000,1547.008368
662.237762,1000,1594.898559
343.037975,1000,1676.329779
555.384615,1000,1724.343978
322.096317,1000,1772.446497
710.810811,1000,1820.173935
693.220339,1000,1868.060618
892.1875,1000,1915.371128
915.7,843,1987.437469
584.210526,1000,2034.973357
710.897436,1000,2082.653322
765.979381,1000,2130.165059
180.0,1000,2177.765839
475.079872,1000,2225.97782
573.611111,1000,2305.537169
175.946269,749,2338.964952
773.076923,1000,2386.955916
888.888889,1000,2434.931416
669.516729,1000,2483.550831
889.090909,1000,2531.033634
713.953488,1000,2578.298717
687.456446,1000,2658.279752
585.512367,1000,2706.233755
760.0,1000,2754.674781
698.561151,1000,2801.952569
910.3,897,2845.661536
855.32646,1000,2895.313721
909.5,905,2968.693846
866.101695,1000,3016.565182
797.350993,1000,3063.607674
915.2,848,3104.382498
910.3,897,3146.107391
651.592357,1000,3194.139205
415.243902,1000,3242.431946
596.594427,1000,3322.559672
733.898305,1000,3370.997608
532.258065,1000,3419.375522
274.213836,1000,3467.846908
587.5,1000,3515.903981
420.0,1000,3563.468679
512.676056,1000,3642.555384
896.742671,1000,3690.958228
908.0,920,3734.996037
903.7,963,3782.404982
889.285714,1000,3832.93294
499.369085,1000,3880.463549
793.536122,1000,3958.141562
916.6,834,3998.019955
593.379791,1000,4044.764468
843.521595,1000,4091.637564
868.309859,1000,4139.574207
437.459283,1000,4186.735042
896.710526,1000,4233.604458
346.808511,1000,4311.969977
896.655518,1000,4358.759903
611.409396,1000,4405.829104
901.2,988,4452.067552
828.571429,1000,4499.515973
884.732824,1000,4545.932745
849.458484,1000,4622.236652
370.394737,1000,4669.384784
396.527778,1000,4716.314323
516.129032,1000,4762.934808
882.142857,1000,4810.560549
914.9,851,4850.975931
909.5,905,4925.158185
833.333333,1000,4971.598322
656.849315,1000,5018.053588
907.3,927,5061.23443
880.066445,1000,5108.863257
416.025641,1000,5156.183768
871.830986,1000,5202.734151
905.0,950,5277.08977
594.158076,1000,5323.718465
727.361564,1000,5370.827011
728.571429,1000,5418.272999
487.662338,1000,5465.701833
892.565056,1000,5512.659063
407.55287,1000,5591.770154
892.481203,1000,5639.351455
910.7,893,5680.768497
910.8,892,5721.482213
571.480144,1000,5767.153537
431.147541,1000,5815.127482
582.539683,1000,5862.358017
417.684887,1000,5942.042615
256.94051,1000,5989.429093
216.139604,800,6027.295146
604.545455,1000,6072.731683
867.320261,1000,6120.116266
326.865672,1000,6169.401325
626.072607,1000,6246.580939
642.857143,1000,6292.388468
389.43662,1000,6338.536036
704.713805,1000,6384.987278
842.65233,1000,6431.788274
778.787879,1000,6479.051236
886.440678,1000,6555.829007
919.2,808,6592.941491
692.64214,1000,6638.885089
905.0,950,6682.952785
586.666667,1000,6729.969245
916.6,834,6767.320219
428.87538,1000,6813.912513
878.947368,1000,6890.853619
880.13245,1000,6937.026448
634.082397,1000,6982.302359
906.5,935,7024.603038
923.3,767,7060.002139
673.026316,1000,7106.309484
700.595238,1000,7184.728754
667.213115,1000,7231.202802
776.363636,1000,7277.226876
756.164384,1000,7324.195191
465.656566,1000,7369.972086
661.245675,1000,7415.990083
818.518519,1000,7461.872613
827.419355,1000,7538.527426
675.0,1000,7585.095432
892.481203,1000,7631.114331
472.254335,1000,7679.576703
733.333333,1000,7727.558674
872.972973,1000,7773.433046
880.769231,1000,7850.00599
856.521739,1000,7896.608893
880.842912,1000,7944.262277
797.435897,1000,7991.226643
790.84507,1000,8039.769237
531.746032,1000,8087.15946
801.754386,1000,8164.917821
688.321168,1000,8212.276632
149.056604,1000,8259.20814
807.284768,1000,8309.738324
871.731449,1000,8359.287112
758.736059,1000,8408.950314
556.666667,1000,8499.289155
432.738095,1000,8548.827367
814.191419,1000,8598.624338
586.206897,1000,8648.243083
834.640523,1000,8698.509144
851.12782,1000,8746.704829
889.547038,1000,8794.783866
669.470405,1000,8878.875938
278.29912,1000,8927.38771
647.603834,1000,8975.932982
447.528517,1000,9024.812
872.222222,1000,9073.646831
428.239203,1000,9123.588918
206.107492,751,9201.969278
740.304183,1000,9250.285789
149.180328,1000,9299.050888
517.363344,1000,9347.597429
651.655629,1000,9396.28078
822.535211,1000,9444.997806
815.194346,1000,9530.866157
544.827586,1000,9579.749283
167.924528,1000,9628.037984
612.177122,1000,9677.074118
613.793103,1000,9723.493713
858.847737,1000,9771.607758
589.189189,1000,9820.237147
889.285714,1000,9910.895377
406.666667,1000,9959.516559
655.244755,1000,10008.684159
601.587302,1000,10057.031153
546.875,1000,10106.063306
918.0,820,10145.959376
761.423221,1000,10234.505616
853.068592,1000,10282.47443
692.64214,1000,10330.977164
665.567766,1000,10379.520459
557.894737,1000,10428.006897
788.135593,1000,10477.234119
812.878788,1000,10567.050631
516.314199,1000,10617.229009
681.456954,1000,10666.131722
646.153846,1000,10715.55694
664.285714,1000,10766.913672
886.111111,1000,10816.310507
297.590361,1000,10865.33391
362.897527,1000,10956.737849
884.615385,1000,11005.602249
676.223776,1000,11054.304835
249.264706,1000,11102.083593
374.626866,1000,11150.013683
732.116788,1000,11198.811122
653.424658,1000,11288.55435
563.120567,1000,11336.010999
872.54902,1000,11384.676495
790.995261,1000,11432.859174
821.568627,1000,11481.592613
660.736196,1000,11530.265449
505.263158,1000,11621.289596
885.765125,1000,11668.349698
177.777778,1000,11714.267797
860.912052,1000,11758.617706
833.098592,1000,11803.008862
440.0,1000,11847.575134
661.245675,1000,11921.509719
705.825243,1000,11967.600893
482.191781,1000,12012.444184
524.087591,1000,12056.721326
775.886525,1000,12101.068897
923.2,768,12135.191189
