#{"t_start": 1702861116.4367769, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1245.696827,1000,7.093812
-1150.506369,1000,7.653126
-1218.235382,1000,8.202108
-1378.642701,1000,8.75553
-1168.085655,1000,9.293197
-1225.699154,1000,9.827642
-1377.124727,1000,10.36503
-1071.974055,1000,10.931226
-1189.619941,1000,11.571971
-1364.983339,1000,12.241699
-917.978196,1000,40.4473
-852.646104,1000,50.485278
-760.254345,1000,60.410754
-644.3682,1000,70.290053
288.860636,1000,80.316506
256.559021,1000,90.308311
-171.025106,1000,100.294431
465.691126,1000,110.214617
113.568364,1000,120.006033
433.704954,1000,129.77336
318.099974,1000,154.135173
497.875333,1000,164.106976
536.769492,1000,174.102889
213.377132,1000,184.127061
534.147483,1000,193.983451
564.84087,1000,203.758672
693.444073,1000,213.522326
564.680364,1000,223.255229
538.346247,1000,233.114047
501.79784,1000,243.225759
757.519056,1000,267.855232
489.003924,1000,278.0115
761.130813,1000,287.884104
679.897819,1000,297.654241
819.604825,1000,307.473778
846.442777,1000,317.360761
527.135044,1000,327.258569
737.023863,1000,337.255546
812.172463,1000,347.103034
793.569855,1000,357.04693
835.580104,1000,381.386802
549.499089,1000,391.15415
882.643435,1000,400.843343
796.431862,1000,410.589638
-869.019884,1000,420.376509
337.602579,1000,430.137481
872.80033,1000,439.80312
1105.79133,1000,449.499708
897.851385,1000,459.229217
647.463753,1000,468.920872
961.528212,1000,492.704577
859.444723,1000,502.403698
925.888885,1000,512.136411
995.717983,1000,521.900634
1282.659839,1000,531.836754
980.501571,1000,541.711669
1172.603077,1000,551.526782
1311.963246,1000,561.398814
1381.829101,1000,571.33316
1384.758536,1000,581.211608
1374.920534,1000,605.331269
1212.791722,1000,615.21324
1363.563763,1000,625.13407
1364.313038,1000,635.020467
1288.064433,1000,644.836624
1569.356154,1000,654.570052
1243.900336,1000,664.609581
1320.924468,1000,674.792164
1499.188356,1000,684.766602
1189.717793,1000,694.967283
1345.324965,1000,718.201109
1542.49156,1000,728.021852
1524.873764,1000,737.804995
1071.899088,1000,747.66029
1459.710969,1000,757.500652
1294.728,1000,767.394845
1503.221497,1000,777.31199
1674.769169,1000,788.249426
1491.177286,1000,798.354369
1462.403351,1000,808.880613
1600.554388,1000,833.310151
1668.695565,1000,843.402398
1668.601906,1000,853.409427
1596.91204,1000,863.382578
1608.956465,1000,873.384432
1627.045044,1000,883.408817
1629.397835,1000,893.226137
1528.999849,1000,903.471339
1523.16592,1000,913.796045
1636.107236,1000,923.74319
1578.317359,1000,947.971908
1464.197599,1000,957.830066
1588.838068,1000,967.78134
1664.805822,1000,977.703617
1731.717132,1000,987.635074
1678.060677,1000,997.409904
1885.420847,1000,1007.171322
1772.461114,1000,1016.934203
1623.387011,1000,1026.783984
1883.071146,1000,1036.519283
1757.929152,1000,1060.188809
1809.153747,1000,1070.047071
1789.99303,1000,1079.894664
1755.557874,1000,1089.834214
1738.703432,1000,1099.662438
1774.920584,1000,1109.411998
1715.270633,1000,1119.150907
1753.871635,1000,1128.885778
1826.562046,1000,1138.625702
1733.686926,1000,1148.386462
1738.137277,1000,1172.630496
1868.114438,1000,1183.243515
1730.627439,1000,1193.363761
1803.417859,1000,1203.480011
1876.415214,1000,1213.905239
1909.349323,1000,1224.165971
1880.297081,1000,1234.310857
1911.9469,1000,1244.544877
1897.232889,1000,1254.963605
1846.57787,1000,1265.310784
1913.101325,1000,1289.802502
1990.192561,1000,1299.705965
1763.465695,1000,1309.509469
1871.299204,1000,1319.342834
1909.93576,1000,1329.268941
1866.381976,1000,1339.594822
1837.395878,1000,1349.494307
2019.586233,1000,1359.478696
1829.093753,1000,1369.359022
1944.95284,1000,1379.236103
1912.902612,1000,1403.741661
1939.679115,1000,1413.575917
1939.506012,1000,1423.427137
1831.698489,1000,1433.296999
1912.624089,1000,1443.281971
1930.447601,1000,1453.210593
1864.354354,1000,1463.083528
2009.902121,1000,1472.977336
1838.525129,1000,1482.872934
1806.281311,1000,1492.747536
1966.98739,1000,1516.998425
1981.830205,1000,1526.952796
1885.058561,1000,1536.833768
1956.912124,1000,1546.689023
2033.144634,1000,1556.554506
1995.225062,1000,1566.502956
1921.715064,1000,1576.418092
2037.178239,1000,1586.376498
2106.540715,1000,1596.315362
2021.126176,1000,1608.526891
